slot_ordinal,slot_id,source_id,primary_dimension,question_text,as_of,time_scope,expected_response_mode,requirements_json,parent_overlap_exception_reason,author_status,author_id,review_status,reviewer_id,reviewed_at,review_rationale,execution_allowed
1,typed_generalization_slot_sha256_7a30d4ae96e73a7ccbf267743e953de80a98d5e65d73a7529a41d3d1adc9fdeb,dnf_notice,temporal_role,,,,,[],,pending,,pending,,,,false
2,typed_generalization_slot_sha256_f2771bcf5d61efcbedaaee3de7fb99f0cf4ad83fbefe5ecb9b942355256e7fb4,dnf_notice,boolean_direction,,,,,[],,pending,,pending,,,,false
3,typed_generalization_slot_sha256_c3540965e6ceea09885c616526e35e63e7ba9c1ff4152c0b68911a30bb94523d,dnf_notice,sibling_relation,,,,,[],,pending,,pending,,,,false
4,typed_generalization_slot_sha256_71a3f2395b9aa5d5430572380e43912c5d7e3282a76379ae5b0adf07e771f506,dnf_notice,multi_requirement,,,,,[],,pending,,pending,,,,false
5,typed_generalization_slot_sha256_0e8503d2117bcf6409764ccd21d8ca7333163e6f6359e693b611c37001b16aad,dnf_notice,table_attribute,,,,,[],,pending,,pending,,,,false
6,typed_generalization_slot_sha256_9fd322557b245f5673058b06a2c8f807271dc0a83923999b43195ce8edd92a5b,dnf_notice,revision_selection,,,,,[],,pending,,pending,,,,false
7,typed_generalization_slot_sha256_dce2ceb1aa4b5bfdbc3aac04c1fcd74c7d85021dfd9db3d18da9c0d53f0ccd7e,dnf_notice,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
8,typed_generalization_slot_sha256_4b2b8986e4bf035d88c450f30ec9656857b788ae29e2e60b65caa45b3017649a,dnf_notice,direct_fact,,,,,[],,pending,,pending,,,,false
9,typed_generalization_slot_sha256_b399b6d25d5a23bb303987e2e65aa80cddd4ca3a4175e44d9d4b5142106bcbed,dnf_update,temporal_role,,,,,[],,pending,,pending,,,,false
10,typed_generalization_slot_sha256_855dc8264913fd147ac1e52fb478849e5052d0424305cc2b269d008d4558d7f2,dnf_update,boolean_direction,,,,,[],,pending,,pending,,,,false
11,typed_generalization_slot_sha256_73d4c8f119a07e7fbdb10da2b513158f5ecfd4da8cac37f4c1a18837215100d5,dnf_update,sibling_relation,,,,,[],,pending,,pending,,,,false
12,typed_generalization_slot_sha256_76ba4e73441260531de78aaf3341ccac408477a7d89f2647345167e27bb066ba,dnf_update,multi_requirement,,,,,[],,pending,,pending,,,,false
13,typed_generalization_slot_sha256_240ee3b26ea51d61e67a1fe55fd1bad549f5b01c80511dfa91a77ecaa3e174aa,dnf_update,table_attribute,,,,,[],,pending,,pending,,,,false
14,typed_generalization_slot_sha256_958b41f16c8f0f9856f09fa67b0fda877d5364ea60c3227541238c586a36ce6a,dnf_update,revision_selection,,,,,[],,pending,,pending,,,,false
15,typed_generalization_slot_sha256_61d6a105236e599b4d39edce90ba8f5a5e3396fc5e3cde3f6493e2528866719b,dnf_update,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
16,typed_generalization_slot_sha256_86b9ae1a89aeb1a7993e9ac6e1be403a535d542370df764011419f0b176085ac,dnf_update,direct_fact,,,,,[],,pending,,pending,,,,false
17,typed_generalization_slot_sha256_30ecb60e07c31df31ff818ec26da63d2a71b6f5f845a69fd35ba36d09300cd6d,dnf_event,temporal_role,,,,,[],,pending,,pending,,,,false
18,typed_generalization_slot_sha256_dd01e4b61a06eb7dc97b95e4008cc2755a160b1d651e4adf2e6b3ba425a89e15,dnf_event,boolean_direction,,,,,[],,pending,,pending,,,,false
19,typed_generalization_slot_sha256_69bd87f0ee515ad16e1e38ab6474b1f90375dd22466aa2d0593efc7cb0210920,dnf_event,sibling_relation,,,,,[],,pending,,pending,,,,false
20,typed_generalization_slot_sha256_238d40b992a8bfe9d914f2e201cf5c74fcfef15ac9d9856243632ca33bc3fdfd,dnf_event,multi_requirement,,,,,[],,pending,,pending,,,,false
21,typed_generalization_slot_sha256_f691db63f3b751b259b4318944499b50cec53ac9c2ac502e288a327b1f6315a2,dnf_event,table_attribute,,,,,[],,pending,,pending,,,,false
22,typed_generalization_slot_sha256_cc7ef7b211a8ec674805f1c2d0da7ed92be6ae4aa0068ce4ef36a2a25c24fe73,dnf_event,revision_selection,,,,,[],,pending,,pending,,,,false
23,typed_generalization_slot_sha256_46827c948ccfe766760e5112008079fe3060271ad23f605fa1110b84d1bc1258,dnf_event,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
24,typed_generalization_slot_sha256_c7be6d3848723081cd5a790effb47cdda62345637d466895ad40a22ad9be09fc,dnf_event,direct_fact,,,,,[],,pending,,pending,,,,false
25,typed_generalization_slot_sha256_705399c0161eeaa1b6155895af0d18b3148cd349947acfe5b1256165f6ddb774,dnf_game_guide,temporal_role,,,,,[],,pending,,pending,,,,false
26,typed_generalization_slot_sha256_cf2ff0a544c36ad4251a0741b4188ccd83a0c50770053e3260b6e858f0e5dee8,dnf_game_guide,boolean_direction,,,,,[],,pending,,pending,,,,false
27,typed_generalization_slot_sha256_ab89c1b62c075cfbc48b8e19f7df36c5d2030ec78f9657a5d49025a5b9c7311b,dnf_game_guide,sibling_relation,,,,,[],,pending,,pending,,,,false
28,typed_generalization_slot_sha256_8631adad84c93b7958c74eea62dfaa141e7c6c4fde6f36f66e05221e94cfca0e,dnf_game_guide,multi_requirement,,,,,[],,pending,,pending,,,,false
29,typed_generalization_slot_sha256_c56242a46762970bfc3a70817aae9978ff65dbfc76ef4e06820045d18593675d,dnf_game_guide,table_attribute,,,,,[],,pending,,pending,,,,false
30,typed_generalization_slot_sha256_9354cfb40faa1bcdcde177252326c9c9d84f803e2725af2623cabdf879b0ed72,dnf_game_guide,revision_selection,,,,,[],,pending,,pending,,,,false
31,typed_generalization_slot_sha256_f0607b1dec2a166caf722f2ceca146a40555e41d8db4b238b289ba64dadff63c,dnf_game_guide,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
32,typed_generalization_slot_sha256_289f412c7fb6fd016fbd87593ad7cda69988b0ede95c8ad878b810686383a804,dnf_game_guide,direct_fact,,,,,[],,pending,,pending,,,,false
33,typed_generalization_slot_sha256_261dae7cbe21c5868e1529f5309f327ffda80f9bdbb7a8ac3084936707d1b9c8,dnf_faq,temporal_role,,,,,[],,pending,,pending,,,,false
34,typed_generalization_slot_sha256_f86fb4f92e5ce93903f88e9190759c9891395304fe02d861e44c747df7e3f208,dnf_faq,boolean_direction,,,,,[],,pending,,pending,,,,false
35,typed_generalization_slot_sha256_3b8bba6a02a748525ba6a4f578b16bdded8a5491f839bed58cf625c82bbf853d,dnf_faq,sibling_relation,,,,,[],,pending,,pending,,,,false
36,typed_generalization_slot_sha256_ec37f487627da16282b51ff97dd2b7df563932ad82bb0fbb67f1c96fcfd2ff64,dnf_faq,multi_requirement,,,,,[],,pending,,pending,,,,false
37,typed_generalization_slot_sha256_2d123e73b475b4e0b9dcdfa69ba7ff586c7fbea541972526b9fa5cc5c318ffb3,dnf_faq,table_attribute,,,,,[],,pending,,pending,,,,false
38,typed_generalization_slot_sha256_81ab3a8e310c6935d9a5943c942365930f3597aa7dcfbbe393d0e5b2d8bf31e2,dnf_faq,revision_selection,,,,,[],,pending,,pending,,,,false
39,typed_generalization_slot_sha256_ac49c997092716cc6acdadf1322e2eeec1f98db8954f65e7f03ce4a81e1082bf,dnf_faq,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
40,typed_generalization_slot_sha256_1969184a788ea1ee1b78d44b27fcbeb6a0ed49ba7bef4d8beeaac1f0d938e2e6,dnf_faq,direct_fact,,,,,[],,pending,,pending,,,,false
41,typed_generalization_slot_sha256_fed27b81dacaa124dddcc635decae2d44e90b3e8d5482c6134116804c67e485f,dnf_account_policy,temporal_role,,,,,[],,pending,,pending,,,,false
42,typed_generalization_slot_sha256_4832332cd2cd6104f8d16df2ba616194d8d9abba9b7157ad34d9d5e89b0e7bdc,dnf_account_policy,boolean_direction,,,,,[],,pending,,pending,,,,false
43,typed_generalization_slot_sha256_17b178f52576a3585cddebbfcb6f649e0510b76724afc6bb74454b472605b421,dnf_account_policy,sibling_relation,,,,,[],,pending,,pending,,,,false
44,typed_generalization_slot_sha256_8f603f8dfd01550ed229a812ee298d96544befdda74a1b300e009e709aa046cf,dnf_account_policy,multi_requirement,,,,,[],,pending,,pending,,,,false
45,typed_generalization_slot_sha256_a60db0c88504ae1fb92cee10314d7b868bd84cbb7ffbae99721cfa1d1871fe2f,dnf_account_policy,table_attribute,,,,,[],,pending,,pending,,,,false
46,typed_generalization_slot_sha256_fc17b762900a78f98aac3030edc47762453446318e92827b1ba5d09f3a5b274f,dnf_account_policy,revision_selection,,,,,[],,pending,,pending,,,,false
47,typed_generalization_slot_sha256_9ec3cd20afb3dcb4a5a2b9557e4cf60ae6572f6850c14dee7ccf1c892a0e045d,dnf_account_policy,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
48,typed_generalization_slot_sha256_d4ec5c52306ae33df6f52ad2b9b40b11af86d563823feca3d9b4e97831083959,dnf_account_policy,direct_fact,,,,,[],,pending,,pending,,,,false
49,typed_generalization_slot_sha256_1e57a35d23de1f9325fdd50a35cf5017ed129886c34ef8b640839cbdf93b7b38,dnf_seria_shop,temporal_role,,,,,[],,pending,,pending,,,,false
50,typed_generalization_slot_sha256_80466a3e3f3bb7a1fe000502ac9878b45530fd036d58c9c62d345391112c35a3,dnf_seria_shop,boolean_direction,,,,,[],,pending,,pending,,,,false
51,typed_generalization_slot_sha256_96eaeef54afdd73a93222b3328ea072c70618de5058e83d31ebd59e08cd7876b,dnf_seria_shop,sibling_relation,,,,,[],,pending,,pending,,,,false
52,typed_generalization_slot_sha256_8939e99c4267d9a822cb56b7ed39bd6e024a1314d2f7d4e37c9451dcad49c5de,dnf_seria_shop,multi_requirement,,,,,[],,pending,,pending,,,,false
53,typed_generalization_slot_sha256_7b6ad387b7f24c9daafc20a8c8e438850ba353276c993d84fb000f4ed02898c3,dnf_seria_shop,table_attribute,,,,,[],,pending,,pending,,,,false
54,typed_generalization_slot_sha256_ef97148fc40caae647ad7a5965fa6b6a717ea5347a9b88053a019871495a3815,dnf_seria_shop,revision_selection,,,,,[],,pending,,pending,,,,false
55,typed_generalization_slot_sha256_9dd2b370ee307e70bb574699762a0ffcb9c1a78b6253c5c06d014b1f8d04e56e,dnf_seria_shop,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
56,typed_generalization_slot_sha256_321554854aeb449c92da04564426816ba7c48af5661b4aa4bea017d847594ea8,dnf_seria_shop,direct_fact,,,,,[],,pending,,pending,,,,false
57,typed_generalization_slot_sha256_6f1b4ff4062d8be775955064e711b515f0f30202e1167af665f40e42a26f8194,dnf_monthly_item,temporal_role,,,,,[],,pending,,pending,,,,false
58,typed_generalization_slot_sha256_b054ad0250475366a6b1e10c5f9da314e19ed7d8ab4fa99108a0355e77fff153,dnf_monthly_item,boolean_direction,,,,,[],,pending,,pending,,,,false
59,typed_generalization_slot_sha256_cda677e9e6a876abab016f8715810e11eb123751c7e0ff52d1792b19ba77daff,dnf_monthly_item,sibling_relation,,,,,[],,pending,,pending,,,,false
60,typed_generalization_slot_sha256_b1613ebc8bddc87729c580a055bd503506fe4cb3dddc2fda71006a20dbdd672f,dnf_monthly_item,multi_requirement,,,,,[],,pending,,pending,,,,false
61,typed_generalization_slot_sha256_d68fba12753a724914e433e7046c21afe6187f1fc0ca597ae0af1a37c0e333b9,dnf_monthly_item,table_attribute,,,,,[],,pending,,pending,,,,false
62,typed_generalization_slot_sha256_de9e56496a48999b0cb0672a30c66c2dd6cea494168b79176a4a61c0038b2ed6,dnf_monthly_item,revision_selection,,,,,[],,pending,,pending,,,,false
63,typed_generalization_slot_sha256_433a0d796e316173a2abcc7ea7e8cb0628c7ad4ca6a5c00b664d01ce2d1ce108,dnf_monthly_item,unsupported_or_partial,,,,,[],,pending,,pending,,,,false
64,typed_generalization_slot_sha256_a8c8133b4d75b37204a5ae43d2c4b20b2e0411400dbf079ba71804ad03a1baea,dnf_monthly_item,direct_fact,,,,,[],,pending,,pending,,,,false
