slot_ordinal,slot_id,source_id,primary_dimension,candidate_id,question_text,as_of,time_scope,expected_response_mode,primary_document_title,primary_document_url,requirements_json,parent_overlap_exception_reason,author_status,review_status,reviewer_id,reviewed_at,review_rationale,execution_allowed,training_allowed
1,typed_generalization_slot_sha256_7a30d4ae96e73a7ccbf267743e953de80a98d5e65d73a7529a41d3d1adc9fdeb,dnf_notice,temporal_role,typed_generalization_candidate_sha256_71494f38e0d1b4a00fe89a405af068bcfb34e757cfe90df41dc9265a1ac30c02,2026년 세라 이용약관 개정안은 언제부터 적용돼?,2026-07-17,current,full_answer,세라 이용약관 개정 안내,https://df.nexon.com/community/news/notice/2927117,"[{""requirement_id"":""effective_date"",""subject"":""세라 이용약관 개정안"",""relation"":""effective_at"",""value_type"":""date"",""required_values"":[""2026-05-28""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_085145b30c235432bceeafc29073b549da3b41962ab171f81f252a2aae8f0b99"",""chunk_id"":""chunk_sha256_9559f1305bfb2208a829c6b15f521e831fdc4e4d2ebbc62aa083bc98bec872c1"",""start_char"":100,""end_char"":125,""text"":""▒ 적용 일자\n- 2026년 5월 28일(목)"",""source_id"":""dnf_notice"",""title"":""세라 이용약관 개정 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927117"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
2,typed_generalization_slot_sha256_f2771bcf5d61efcbedaaee3de7fb99f0cf4ad83fbefe5ecb9b942355256e7fb4,dnf_notice,boolean_direction,typed_generalization_candidate_sha256_a1e406ce2163c631c442b9fc3820566f1948d7ce57700f0e975503b89d9e2756,4월 2일 확인된 오류 기준으로 조율의 경계에서 광휘의 의지를 열면 연출이 정상 출력됐어?,2026-07-17,current,full_answer,4/2(목) 확인된 오류 안내,https://df.nexon.com/community/news/notice/2926884,"[{""requirement_id"":""effect_rendered"",""subject"":""조율의 경계 - 광휘의 의지 개봉 연출"",""relation"":""is_normally_rendered"",""value_type"":""boolean"",""required_values"":[false],""acceptable_evidence_units"":[{""document_id"":""document_sha256_01ef4667e5e0b3e9c50db6463ba8c061b813085adba9d00766f2f3e44c4b6177"",""chunk_id"":""chunk_sha256_10d5fa24cd8c67df6976463117ac348c37fe3ff476a1053478d90caf9d4f3d6f"",""start_char"":121,""end_char"":156,""text"":""조율의 경계 - 광휘의 의지 개봉 시 연출이 출력되지 않는 현상"",""source_id"":""dnf_notice"",""title"":""4/2(목) 확인된 오류 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2926884"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
3,typed_generalization_slot_sha256_c3540965e6ceea09885c616526e35e63e7ba9c1ff4152c0b68911a30bb94523d,dnf_notice,sibling_relation,typed_generalization_candidate_sha256_c90b427a544abb5f4aed5a9529a932cce101c13098b994a953e11e2f6291cfea,세리아와 함께한 20주년 선물 5주차 추첨에서 그래픽카드와 키보드·장패드는 각각 몇 개였어?,2026-07-17,current,full_answer,[5주차] 세리아와 함께한 20주년 선물 추첨 당첨자 발표,https://df.nexon.com/community/news/notice/2924996,"[{""requirement_id"":""graphics_card_quantity"",""subject"":""[20th special]던전 앤 그래픽카드"",""relation"":""drawing_goods_quantity"",""value_type"":""number"",""required_values"":[4],""acceptable_evidence_units"":[{""document_id"":""document_sha256_0cc780d0a8897dbfb8946825378b71fdb10ddddc8b0ef5dda6e34722ba6f44cd"",""chunk_id"":""chunk_sha256_eac72b4d5bb920cb99dc3530d5f8607122fa39d26e361afcc93269d1daa3fd8c"",""start_char"":226,""end_char"":255,""text"":""[20th special]던전 앤 그래픽카드 (4개)"",""source_id"":""dnf_notice"",""title"":""[5주차] 세리아와 함께한 20주년 선물 추첨 당첨자 발표"",""canonical_url"":""https://df.nexon.com/community/news/notice/2924996"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""keyboard_mousepad_quantity"",""subject"":""[20th special]20주년 키보드 + 장패드"",""relation"":""drawing_goods_quantity"",""value_type"":""number"",""required_values"":[12],""acceptable_evidence_units"":[{""document_id"":""document_sha256_0cc780d0a8897dbfb8946825378b71fdb10ddddc8b0ef5dda6e34722ba6f44cd"",""chunk_id"":""chunk_sha256_eac72b4d5bb920cb99dc3530d5f8607122fa39d26e361afcc93269d1daa3fd8c"",""start_char"":256,""end_char"":290,""text"":""[20th special]20주년 키보드 + 장패드 (12개)"",""source_id"":""dnf_notice"",""title"":""[5주차] 세리아와 함께한 20주년 선물 추첨 당첨자 발표"",""canonical_url"":""https://df.nexon.com/community/news/notice/2924996"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
4,typed_generalization_slot_sha256_71a3f2395b9aa5d5430572380e43912c5d7e3282a76379ae5b0adf07e771f506,dnf_notice,multi_requirement,typed_generalization_candidate_sha256_a4183b7359a0dc7b8d021c18fbf9861c527f5f1c8a9f99b864a1cc2cf1384562,"Chrome 141 업데이트로 ISP 결제에 어떤 영향이 있었고, 권한 알림이 뜨면 어떻게 해야 했어?",2026-07-17,current,full_answer,Chrome 브라우저 신규 버전(141) 업데이트 시 ISP 결제 불가 현상 및 조치 방법 안내,https://df.nexon.com/community/news/notice/2923292,"[{""requirement_id"":""payment_impact"",""subject"":""Chrome 141 업데이트"",""relation"":""payment_impact"",""value_type"":""text"",""required_values"":[""로컬 네트워크 접근이 기본 활성화로 변경되어 ISP 결제가 불가""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_079f23d51a3f56a736ea69eee0f6f4e5fcdcb01d2364bad1550c93a8a2c0c2e9"",""chunk_id"":""chunk_sha256_9de3e9229cf67aff857e491937cdad538298a7729df5499dc49ab72cdde1b673"",""start_char"":271,""end_char"":343,""text"":""구글 크롬 브라우저 업데이트로 [로컬 네트워크 Local Network Access']이 기본 활성화로 변경되어 ISP 결제 불가"",""source_id"":""dnf_notice"",""title"":""Chrome 브라우저 신규 버전(141) 업데이트 시 ISP 결제 불가 현상 및 조치 방법 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2923292"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""permission_action"",""subject"":""ISP 결제 로컬 네트워크 접근 알림"",""relation"":""recommended_action"",""value_type"":""enum"",""required_values"":[""허용""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_079f23d51a3f56a736ea69eee0f6f4e5fcdcb01d2364bad1550c93a8a2c0c2e9"",""chunk_id"":""chunk_sha256_9de3e9229cf67aff857e491937cdad538298a7729df5499dc49ab72cdde1b673"",""start_char"":373,""end_char"":405,""text"":""로컬 네트워크 엑세스 허용/차단 알럿 발생 시, 허용 설정"",""source_id"":""dnf_notice"",""title"":""Chrome 브라우저 신규 버전(141) 업데이트 시 ISP 결제 불가 현상 및 조치 방법 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2923292"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
5,typed_generalization_slot_sha256_0e8503d2117bcf6409764ccd21d8ca7333163e6f6359e693b611c37001b16aad,dnf_notice,table_attribute,typed_generalization_candidate_sha256_5c176e5a886a695bd9ed7b1346c261d900afadccc4327f4ab21be3b0e83f4a5e,2026년 4월 2일 정기점검은 몇 시부터 몇 시까지였어?,2026-07-17,historical,full_answer,4/2(목) 정기점검 안내,https://df.nexon.com/community/news/notice/2926860,"[{""requirement_id"":""maintenance_time"",""subject"":""2026년 4월 2일 정기점검"",""relation"":""maintenance_time"",""value_type"":""date_range"",""required_values"":[""04:30"",""10:00""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_4aef843c8996086e3753cb8b65fd6bdb1b591feb7b470aaf6c8baa2c5d5d243c"",""chunk_id"":""chunk_sha256_e895a05fe7feef204a5ba199b0e8794959711ef0508e618b10b0d94b5285cc24"",""start_char"":121,""end_char"":143,""text"":""| 시간 | 04:30 ~ 10:00 |"",""source_id"":""dnf_notice"",""title"":""4/2(목) 정기점검 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2926860"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
6,typed_generalization_slot_sha256_9fd322557b245f5673058b06a2c8f807271dc0a83923999b43195ce8edd92a5b,dnf_notice,revision_selection,typed_generalization_candidate_sha256_52cf0807234a1e5f8df280126bbe6d0e504b749029294e0b91e16fb0addf7efb,2025년에 공지된 던전앤파이터 운영정책 변경은 언제 시행될 예정이었어?,2026-07-17,historical,full_answer,던전앤파이터 운영정책 변경 안내,https://df.nexon.com/community/news/notice/2923361,"[{""requirement_id"":""policy_effective_date"",""subject"":""던전앤파이터 운영정책 변경"",""relation"":""effective_at"",""value_type"":""date"",""required_values"":[""2025-11-01""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_0729e99a8f2a7bff82aa522667d519d80a194369910a8c020f54825ab627c51d"",""chunk_id"":""chunk_sha256_15cf260ff6e53ec7aee7f2bf777c7d9c548d3551b049e287843b00c9b0c91790"",""start_char"":86,""end_char"":108,""text"":""2025년 11월 1일 자로 변경이 예정"",""source_id"":""dnf_notice"",""title"":""던전앤파이터 운영정책 변경 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2923361"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
7,typed_generalization_slot_sha256_dce2ceb1aa4b5bfdbc3aac04c1fcd74c7d85021dfd9db3d18da9c0d53f0ccd7e,dnf_notice,unsupported_or_partial,typed_generalization_candidate_sha256_c40f926895ef80cdc9cbaecbd3b7fc7f24dd84efa37628be4a1033174071bbe1,4월 2일 조율의 경계 연출 오류는 확인 중이었는지와 정확한 수정 완료 시각을 알려줘.,2026-07-17,current,partial_answer,4/2(목) 확인된 오류 안내,https://df.nexon.com/community/news/notice/2926884,"[{""requirement_id"":""investigation_status"",""subject"":""조율의 경계 연출 오류"",""relation"":""investigation_status"",""value_type"":""enum"",""required_values"":[""확인 중""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_01ef4667e5e0b3e9c50db6463ba8c061b813085adba9d00766f2f3e44c4b6177"",""chunk_id"":""chunk_sha256_10d5fa24cd8c67df6976463117ac348c37fe3ff476a1053478d90caf9d4f3d6f"",""start_char"":159,""end_char"":185,""text"":""오류 확인중에 있으며 추후 공지사항을 통해 안내"",""source_id"":""dnf_notice"",""title"":""4/2(목) 확인된 오류 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2926884"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""fixed_at"",""subject"":""조율의 경계 연출 오류"",""relation"":""fixed_at"",""value_type"":""datetime"",""required_values"":[],""acceptable_evidence_units"":[],""expected_status"":""unsupported""}]",,draft_complete_pending_human_review,pending,,,,false,false
8,typed_generalization_slot_sha256_4b2b8986e4bf035d88c450f30ec9656857b788ae29e2e60b65caa45b3017649a,dnf_notice,direct_fact,typed_generalization_candidate_sha256_fd8ca0f4bce1cd7a587795f4122521418cf89c962729a5d8da1160079b32dbf0,세리아의 특별 상점은 게임 안에서 어디서 찾을 수 있어?,2026-07-17,current,full_answer,6/12(금) 세리아 특별 상점 물품 판매 안내,https://df.nexon.com/community/news/notice/2927710,"[{""requirement_id"":""shop_location"",""subject"":""세리아의 특별 상점"",""relation"":""location"",""value_type"":""text"",""required_values"":[""세리아방의 NPC 세리아""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_02b647e98136fec7c3e8365815de0f40fafb52a478b80d4fb0e32a8033b142e6"",""chunk_id"":""chunk_sha256_5ac51535e2805865522412deac4cfb565e9ad9faa4e57a67db855d69dcfbaf73"",""start_char"":280,""end_char"":310,""text"":""세리아방의 NPC 세리아를 클릭하면 찾을 수 있습니다."",""source_id"":""dnf_notice"",""title"":""6/12(금) 세리아 특별 상점 물품 판매 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927710"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
9,typed_generalization_slot_sha256_b399b6d25d5a23bb303987e2e65aa80cddd4ca3a4175e44d9d4b5142106bcbed,dnf_update,temporal_role,typed_generalization_candidate_sha256_cfc64ffb1be71b29ac49f9e5f2c24d8799c364f1950a282e5b1ba105931162df,시즌 11 Act 2 '제국의 파도 & 폭권' 업데이트는 언제 적용됐어?,2026-07-17,current,full_answer,시즌 11 Act 2. 제국의 파도 ＆ 폭권,https://df.nexon.com/community/news/update/2927617,"[{""requirement_id"":""effective_date"",""subject"":""시즌 11 Act 2. 제국의 파도 & 폭권"",""relation"":""effective_at"",""value_type"":""date"",""required_values"":[""2026-06-04""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_81cd2addd84b453ac055d32dbe94aeb3c49e3067583cca75eb996b30f479992f"",""chunk_id"":""chunk_sha256_6de95eb00fcbda18d712b0de56741997ad433988cba9680eed832cc46a554668"",""start_char"":77,""end_char"":99,""text"":""6/4(목) 점검 중 업데이트 되는 내용"",""source_id"":""dnf_update"",""title"":""시즌 11 Act 2. 제국의 파도 ＆ 폭권"",""canonical_url"":""https://df.nexon.com/community/news/update/2927617"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
10,typed_generalization_slot_sha256_855dc8264913fd147ac1e52fb478849e5052d0424305cc2b269d008d4558d7f2,dnf_update,boolean_direction,typed_generalization_candidate_sha256_394f2eb1f386d76794d6e091ff82bc4e5aacea074b02607092d56369cdc6dbfa,7월 9일 업데이트에서 DirectX11의 높은 메모리 사용량 문제가 수정됐어?,2026-07-17,current,full_answer,7/9(목) 정기점검 업데이트 안내,https://df.nexon.com/community/news/update/2927913,"[{""requirement_id"":""dx11_memory_fixed"",""subject"":""DirectX11 높은 메모리 사용량"",""relation"":""is_fixed"",""value_type"":""boolean"",""required_values"":[true],""acceptable_evidence_units"":[{""document_id"":""document_sha256_d87ef4a96a0ca6cf4d658f37860b6d9f57347d0fb4743f03bb34907610692c97"",""chunk_id"":""chunk_sha256_335e912feb7afd35d6f84f0f577b90bb62358201bedde54ff8784877dd910085"",""start_char"":123,""end_char"":172,""text"":""DirectX11 이용 시 DirectX9 대비 메모리 사용량이 높은 현상이 수정됩니다."",""source_id"":""dnf_update"",""title"":""7/9(목) 정기점검 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927913"",""document_status"":""current""}],""expected_status"":""supported""}]",,draft_complete_pending_human_review,pending,,,,false,false
