slot_ordinal,source_id,primary_dimension,question_text,expected_response_mode,primary_document_title,primary_document_url,requirements_json,review_decision,reviewer_id,review_rationale
1,dnf_notice,temporal_role,"7월 8일 퍼스트 서버는 원래 몇 시 오픈 예정이었고, 실제로 몇 시로 지연됐어?",full_answer,7/8(수) 퍼스트 서버 오픈 지연 안내 (15시→15시 10분),https://df.nexon.com/community/news/notice/2927926,"[{""requirement_id"":""scheduled_open_at"",""subject"":""7월 8일 퍼스트 서버"",""relation"":""scheduled_open_at"",""value_type"":""time"",""required_values"":[""15:00""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_311577f37d817b7512405e92f17dd32da8a9b5ad6260965ab36882b8038faeaf"",""chunk_id"":""chunk_sha256_9da595117eabcbb8dd807ce968a09659fd37b876281e0473cad040fab71b505d"",""start_char"":127,""end_char"":157,""text"":""▣ 퍼스트 서버 오픈 지연 - 15:00 → 15:10"",""source_id"":""dnf_notice"",""title"":""7/8(수) 퍼스트 서버 오픈 지연 안내 (15시→15시 10분)"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927926"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""delayed_open_at"",""subject"":""7월 8일 퍼스트 서버"",""relation"":""delayed_open_at"",""value_type"":""time"",""required_values"":[""15:10""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_311577f37d817b7512405e92f17dd32da8a9b5ad6260965ab36882b8038faeaf"",""chunk_id"":""chunk_sha256_9da595117eabcbb8dd807ce968a09659fd37b876281e0473cad040fab71b505d"",""start_char"":127,""end_char"":157,""text"":""▣ 퍼스트 서버 오픈 지연 - 15:00 → 15:10"",""source_id"":""dnf_notice"",""title"":""7/8(수) 퍼스트 서버 오픈 지연 안내 (15시→15시 10분)"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927926"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
2,dnf_notice,boolean_direction,2026년 7월 2일 공지 시점에 DirectX 9 지원은 이미 종료된 상태였어?,full_answer,DirectX 11 지원 관련 추가 안내,https://df.nexon.com/community/news/notice/2927887,"[{""requirement_id"":""support_already_ended"",""subject"":""DirectX 9 지원"",""relation"":""support_already_ended"",""value_type"":""boolean"",""required_values"":[false],""acceptable_evidence_units"":[{""document_id"":""document_sha256_c846decea5e3210725c961161ea85c9f922b8bcf51f68445eefb51c0851ac793"",""chunk_id"":""chunk_sha256_cc084dfce98e4929261538f9112d58ce05f7c427b9eac8c066c5167bda02817d"",""start_char"":345,""end_char"":397,""text"":""이러한 안정화 추이를 바탕으로 향후 DirectX 9 지원 종료를 검토하고 있음을 안내드리며,"",""source_id"":""dnf_notice"",""title"":""DirectX 11 지원 관련 추가 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927887"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
3,dnf_notice,multi_requirement,"Npay 7% 적립 이벤트의 최소 충전금액, 적립률, 최대 적립액은 각각 얼마였어?",full_answer,Npay 7% 네이버페이 포인트 적립 이벤트,https://df.nexon.com/community/news/notice/2927921,"[{""requirement_id"":""minimum_charge"",""subject"":""Npay 7% 적립 이벤트"",""relation"":""minimum_charge"",""value_type"":""currency"",""required_values"":[{""amount"":40000,""unit"":""원""}],""acceptable_evidence_units"":[{""document_id"":""document_sha256_488b3fc9e3dc578bad12aaf8a937e5ecc698832188f2cedc0ddfea04399ffef1"",""chunk_id"":""chunk_sha256_74f2d3480477b58712eabca88dbd7cbc51263fd9ff55ae1787c51f2885e45a62"",""start_char"":285,""end_char"":376,""text"":""■ 이벤트 내용 : Npay로 4만원 이상 충전 시 7% 네이버페이 포인트 적립 (최대 4,000원, 중복 불가, 네이버페이 실명 인증 기준 1인 1회 참여 가능)"",""source_id"":""dnf_notice"",""title"":""Npay 7% 네이버페이 포인트 적립 이벤트"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927921"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""accrual_rate"",""subject"":""Npay 7% 적립 이벤트"",""relation"":""accrual_rate"",""value_type"":""percentage"",""required_values"":[7],""acceptable_evidence_units"":[{""document_id"":""document_sha256_488b3fc9e3dc578bad12aaf8a937e5ecc698832188f2cedc0ddfea04399ffef1"",""chunk_id"":""chunk_sha256_74f2d3480477b58712eabca88dbd7cbc51263fd9ff55ae1787c51f2885e45a62"",""start_char"":285,""end_char"":376,""text"":""■ 이벤트 내용 : Npay로 4만원 이상 충전 시 7% 네이버페이 포인트 적립 (최대 4,000원, 중복 불가, 네이버페이 실명 인증 기준 1인 1회 참여 가능)"",""source_id"":""dnf_notice"",""title"":""Npay 7% 네이버페이 포인트 적립 이벤트"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927921"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""maximum_accrual"",""subject"":""Npay 7% 적립 이벤트"",""relation"":""maximum_accrual"",""value_type"":""currency"",""required_values"":[{""amount"":4000,""unit"":""원""}],""acceptable_evidence_units"":[{""document_id"":""document_sha256_488b3fc9e3dc578bad12aaf8a937e5ecc698832188f2cedc0ddfea04399ffef1"",""chunk_id"":""chunk_sha256_74f2d3480477b58712eabca88dbd7cbc51263fd9ff55ae1787c51f2885e45a62"",""start_char"":285,""end_char"":376,""text"":""■ 이벤트 내용 : Npay로 4만원 이상 충전 시 7% 네이버페이 포인트 적립 (최대 4,000원, 중복 불가, 네이버페이 실명 인증 기준 1인 1회 참여 가능)"",""source_id"":""dnf_notice"",""title"":""Npay 7% 네이버페이 포인트 적립 이벤트"",""canonical_url"":""https://df.nexon.com/community/news/notice/2927921"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
4,dnf_notice,unsupported_or_partial,2026년 7월 17일 넥슨 고객상담실 방문 상담은 가능했는지와 전화 상담 운영시간을 알려줘.,partial_answer,7/17(금) 넥슨 고객상담실 휴무 안내,https://df.nexon.com/community/news/notice/2928003,"[{""requirement_id"":""visit_available"",""subject"":""2026년 7월 17일 넥슨 고객상담실"",""relation"":""visit_available"",""value_type"":""boolean"",""required_values"":[false],""acceptable_evidence_units"":[{""document_id"":""document_sha256_cedffb9e8861a96d80c1e7d2a1026925fb074264e8d4079ede49c666037272dd"",""chunk_id"":""chunk_sha256_aca71a32f6cd90bf1ce54f7cfccc455fad9f22702cc54d5a0fc730a7a450cff5"",""start_char"":99,""end_char"":132,""text"":""7/17(금)에는 방문 상담 서비스를 이용하실 수 없습니다."",""source_id"":""dnf_notice"",""title"":""7/17(금) 넥슨 고객상담실 휴무 안내"",""canonical_url"":""https://df.nexon.com/community/news/notice/2928003"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""telephone_hours"",""subject"":""2026년 7월 17일 넥슨 고객상담실"",""relation"":""telephone_hours"",""value_type"":""text"",""required_values"":[],""acceptable_evidence_units"":[],""expected_status"":""unsupported""}]",,,
5,dnf_update,direct_fact,5월 6일 퍼스트 서버 업데이트 기준 최후의 과업 채널 입장 명성은 얼마였어?,full_answer,5/6(수) 퍼스트 서버 업데이트 안내,https://df.nexon.com/community/news/update/2927233,"[{""requirement_id"":""entry_fame"",""subject"":""최후의 과업 채널"",""relation"":""entry_fame"",""value_type"":""number"",""required_values"":[108921],""acceptable_evidence_units"":[{""document_id"":""document_sha256_ebb2d07a700b1461b3bb3bf246a5428d82d533e91b58f211a7127d5ee7d46a01"",""chunk_id"":""chunk_sha256_ecdae4d23e1593ce7b23038048e3a7adb6feabe70837ae060dde4edbdc2c1ab3"",""start_char"":49,""end_char"":89,""text"":""<최후의 과업> 채널은 모험가 명성 108,921부터 입장이 가능합니다."",""source_id"":""dnf_update"",""title"":""5/6(수) 퍼스트 서버 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927233"",""document_status"":""unknown""}],""expected_status"":""supported""}]",,,
6,dnf_update,sibling_relation,7월 16일 캐릭터 밸런스 패치에서 그래플러(남)와 넨마스터(여)의 스킬 공격력 증가율은 각각 얼마였어?,full_answer,7/16(목) 정기점검 업데이트 안내,https://df.nexon.com/community/news/update/2927985,"[{""requirement_id"":""male_grappler_attack_increase"",""subject"":""그래플러(남)"",""relation"":""attack_increase"",""value_type"":""percentage"",""required_values"":[12.3],""acceptable_evidence_units"":[{""document_id"":""document_sha256_02c3b128896e1e3040f725af3ad4831e517a42efb2a5dfbde6bea828efd7f78c"",""chunk_id"":""chunk_sha256_c619a6e414b351eb51ab89e89cfba3c530c3a360ec22f7a343659f665ae54325"",""start_char"":47,""end_char"":92,""text"":""## 그래플러(남)\n기본 공격 및 전직 계열 스킬 공격력이 12.3% 증가합니다."",""source_id"":""dnf_update"",""title"":""7/16(목) 정기점검 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927985"",""document_status"":""current""}],""expected_status"":""supported""},{""requirement_id"":""female_nenmaster_attack_increase"",""subject"":""넨마스터(여)"",""relation"":""attack_increase"",""value_type"":""percentage"",""required_values"":[8.8],""acceptable_evidence_units"":[{""document_id"":""document_sha256_02c3b128896e1e3040f725af3ad4831e517a42efb2a5dfbde6bea828efd7f78c"",""chunk_id"":""chunk_sha256_9bf8aa31f1803fc7fba9b66119acbdbea0acaa4083fb608fc0b830724b7716dc"",""start_char"":0,""end_char"":44,""text"":""## 넨마스터(여)\n기본 공격 및 전직 계열 스킬 공격력이 8.8% 증가합니다."",""source_id"":""dnf_update"",""title"":""7/16(목) 정기점검 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927985"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
7,dnf_update,table_attribute,5월 6일 퍼스트 서버 업데이트의 최후의 과업 모험도감 ★10 보상과 거래 타입은 뭐였어?,full_answer,5/6(수) 퍼스트 서버 업데이트 안내,https://df.nexon.com/community/news/update/2927233,"[{""requirement_id"":""reward"",""subject"":""최후의 과업 모험도감 ★10"",""relation"":""reward"",""value_type"":""entity"",""required_values"":[""신야 대두 아바타 상자""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_ebb2d07a700b1461b3bb3bf246a5428d82d533e91b58f211a7127d5ee7d46a01"",""chunk_id"":""chunk_sha256_5a4e1ecd9e3a2244fcd1ed97c6364532e4b975b237861336940652121e764993"",""start_char"":162,""end_char"":191,""text"":""| ★10 | 신야 대두 아바타 상자 | 계정귀속 |"",""source_id"":""dnf_update"",""title"":""5/6(수) 퍼스트 서버 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927233"",""document_status"":""unknown""}],""expected_status"":""supported""},{""requirement_id"":""trade_type"",""subject"":""최후의 과업 모험도감 ★10"",""relation"":""trade_type"",""value_type"":""enum"",""required_values"":[""계정귀속""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_ebb2d07a700b1461b3bb3bf246a5428d82d533e91b58f211a7127d5ee7d46a01"",""chunk_id"":""chunk_sha256_5a4e1ecd9e3a2244fcd1ed97c6364532e4b975b237861336940652121e764993"",""start_char"":162,""end_char"":191,""text"":""| ★10 | 신야 대두 아바타 상자 | 계정귀속 |"",""source_id"":""dnf_update"",""title"":""5/6(수) 퍼스트 서버 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927233"",""document_status"":""unknown""}],""expected_status"":""supported""}]",,,
8,dnf_update,revision_selection,5월 6일 퍼스트 서버 업데이트 기준 최후의 과업 주간 입장 제한과 통합 보상 횟수는 각각 몇 회였어?,full_answer,5/6(수) 퍼스트 서버 업데이트 안내,https://df.nexon.com/community/news/update/2927233,"[{""requirement_id"":""weekly_entry_limit"",""subject"":""최후의 과업"",""relation"":""weekly_entry_limit"",""value_type"":""number"",""required_values"":[1],""acceptable_evidence_units"":[{""document_id"":""document_sha256_ebb2d07a700b1461b3bb3bf246a5428d82d533e91b58f211a7127d5ee7d46a01"",""chunk_id"":""chunk_sha256_cb7eaf5ad1bf639283c236b4e6465c6c0186eed330909ef54629015adfcc2103"",""start_char"":135,""end_char"":181,""text"":""| 주간 입장 제한 | 1회 콘텐츠 시작 시 주간 입장 제한 횟수가 차감됩니다. |"",""source_id"":""dnf_update"",""title"":""5/6(수) 퍼스트 서버 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927233"",""document_status"":""unknown""}],""expected_status"":""supported""},{""requirement_id"":""integrated_reward_count"",""subject"":""최후의 과업"",""relation"":""integrated_reward_count"",""value_type"":""number"",""required_values"":[2],""acceptable_evidence_units"":[{""document_id"":""document_sha256_ebb2d07a700b1461b3bb3bf246a5428d82d533e91b58f211a7127d5ee7d46a01"",""chunk_id"":""chunk_sha256_cb7eaf5ad1bf639283c236b4e6465c6c0186eed330909ef54629015adfcc2103"",""start_char"":182,""end_char"":303,""text"":""| 통합 보상 횟수 | 2회 제한 시간 내 콘텐츠 클리어 시 주간 보상을 획득하실 수 있습니다. 보상 획득 시 통합 보상 횟수는 차감됩니다. 주간 입장 제한 및 통합 보상 횟수는 매주 목요일 06시에 초기화됩니다. |"",""source_id"":""dnf_update"",""title"":""5/6(수) 퍼스트 서버 업데이트 안내"",""canonical_url"":""https://df.nexon.com/community/news/update/2927233"",""document_status"":""unknown""}],""expected_status"":""supported""}]",,,
9,dnf_event,direct_fact,레바vs낡은창고 드로잉쇼 쿠폰은 계정당 몇 번 입력할 수 있었어?,full_answer,레바vs낡은창고 드로잉쇼 이모티콘,https://df.nexon.com/community/news/event/2927808,"[{""requirement_id"":""coupon_input_limit"",""subject"":""레바vs낡은창고 드로잉쇼 쿠폰"",""relation"":""coupon_input_limit"",""value_type"":""number"",""required_values"":[1],""acceptable_evidence_units"":[{""document_id"":""document_sha256_cc205a8439b2f921ecebce31ac1cb0e8691894ec13f44da7b4a95b6a39a95d18"",""chunk_id"":""chunk_sha256_5ca681b005815764bfa5c5a38b519fdfbe6d3f07a105feb6c68023c6128c32b4"",""start_char"":220,""end_char"":245,""text"":""- 모든 쿠폰은 계정당 1회 입력 가능합니다."",""source_id"":""dnf_event"",""title"":""레바vs낡은창고 드로잉쇼 이모티콘"",""canonical_url"":""https://df.nexon.com/community/news/event/2927808"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
10,dnf_event,temporal_role,파도치는 폭권으로! 보급 작전 이벤트 기간은 언제부터 언제까지였어?,full_answer,파도치는 폭권으로! 보급 작전,https://df.nexon.com/pg/newcharsupply,"[{""requirement_id"":""event_period"",""subject"":""파도치는 폭권으로! 보급 작전"",""relation"":""event_period"",""value_type"":""date_range"",""required_values"":[""2026-07-02"",""2026-07-23""],""acceptable_evidence_units"":[{""document_id"":""document_sha256_39da28f9916af1dda35dc7657f7db382d0524ccef2b91677859d1898334a2638"",""chunk_id"":""chunk_sha256_bee29be634f1de5bd63de4f16e54ae7075651958df1b632e68a5d76012d87b68"",""start_char"":17,""end_char"":83,""text"":""# 파도치는 폭권으로! 보급 작전 | 이벤트 기간 : 2026년 7월 2일(목) 점검 후 ~ 7월 23일(목) 점검 전"",""source_id"":""dnf_event"",""title"":""파도치는 폭권으로! 보급 작전"",""canonical_url"":""https://df.nexon.com/pg/newcharsupply"",""document_status"":""current""}],""expected_status"":""supported""}]",,,
